,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
10,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,151.0,20.0,128.0,110.0,4.0,1325,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,2,
11,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,94.0,24.0,143.0,11.0,,504,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2025-11-09 15:49:21,2025-11-09 15:49:21,210,3.0,24.0,12.0,133.0,57.0,,439,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,13,True,2,1.0
13,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-11-13 18:32:39,2025-11-12 18:12:30,346,18.0,10.0,7.0,154.0,,1.0,154,2025-11-12 18:13:15,2025.11.06,66.0,A ranked list of awesome Digital Identity open source projects.,5,13,True,1,-1.0
14,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-11-13 10:30:42,2025-11-12 20:24:28,1304,89.0,4.0,4.0,1396.0,1.0,,75,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,
15,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2025-11-10 05:43:34,2025-11-10 05:43:32,72,33.0,3.0,,31.0,,,12,2025-11-10 05:43:52,2025.11.10,14.0,A ranked list of MCP servers. Updated weekly.,3,11,True,3,1.0
16,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,1.0,113.0,17.0,187.0,2.0,2.0,1019,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,10,True,2,
17,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,https://github.com/tolkonepiu/best-of-nix,https://github.com/tolkonepiu/best-of-nix,,CC-BY-SA-4.0,2025-05-11 01:41:28,2025-11-10 05:46:01,2025-11-10 05:45:59,97,34.0,,2.0,49.0,,,10,2025-11-10 05:46:17,2025.11.10,30.0,A ranked list of the best resources in the Nix community. Updated weekly.,4,10,True,3,1.0
18,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-11-03 08:17:24,2025-11-03 08:17:22,392,6.0,13.0,2.0,89.0,1.0,,123,,,,A ranked list of awesome Django related Python packages.,3,9,True,3,
19,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-11-13 18:09:58,2025-11-06 18:39:24,172,12.0,1.0,2.0,150.0,,,44,,,,List of automatically rated Python packages for FastAPI.,3,9,True,3,
20,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2025-09-03 03:20:33,2025-08-28 20:33:03,567,6.0,1.0,,,,,14,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,8,True,3,
21,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,3.0,38.0,9.0,,24,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,
22,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2025-11-13 18:04:52,2025-11-06 21:35:23,139,38.0,1.0,1.0,35.0,,,8,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,7,True,1,
23,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,,2.0,1.0,100.0,,,8,,,,List of automatically rated React Native projects.,2,5,True,1,
24,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,,,1.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,5,True,3,
